saif,subkind,class_top,class_full,group_top,group_full,sum
משרד האוצר,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,משרדי מטה,אוצר,0.0
משרד החינוך,תקציב רגיל,קניות,קניות בארץ,שירותים חברתיים,חינוך,8815989.0
משרד התקשורת,תקציב רגיל,שכר,שכר בארץ,ענפי משק,תקשורת,40135.0
הוצאות חירום אזרחיות,תקציב רגיל,שכר,רזרבה,בטחון וסדר ציבורי,בטחון-אחר,14492.0
המרכז למיפוי ישראל,תקציב רגיל,קניות,קניות בארץ,תשתיות,בינוי ושיכון,20884.0
בתי חולים ממשלתים,מפעלים עסקיים,קניות,קניות בארץ,שירותים חברתיים,בריאות,308537.0
משרד החקלאות,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,ענפי משק,חקלאות,175091.0
פיתוח תיירות,תקציב פיתוח,השקעה,רזרבה,ענפי משק,תיירות,27700.0
"בתי""ח פסיכיאטרים",מפעלים עסקיים,העברות  פנים תקציביות,הפחתות,שירותים חברתיים,בריאות,0.0
מפעלי מים,תקציב פיתוח,השקעה,השקעה בארץ,תשתיות,משק המים,539515.0
תמיכות שונות,תקציב רגיל,העברות,רזרבה,הוצאות אחרות,הוצאות שונות,0.0
מפעלי משרד ראש הממשלה,מפעלים עסקיים,שכר,שכר בארץ,משרדי מטה,אוצר,80263.0
משרד הפנים,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,משרדי מטה,פנים ושלטון מקומי,120413.0
משרד לביטחון פנים,תקציב רגיל,שכר,רזרבה,בטחון וסדר ציבורי,בטחון פנים,3130168.0
"רשות האוכלוסין, ההגירה",תקציב רגיל,שכר,רזרבה,משרדי מטה,פנים ושלטון מקומי,16332.0
הוצאות פיתוח אחרות,תקציב פיתוח,השקעה,רזרבה,הוצאות אחרות,הוצאות שונות,1668580.0
תמיכות שונות,תקציב רגיל,העברות,סובסידיה,ענפי משק,חקלאות,0.0
משרד האנרגיה והמים,תקציב רגיל,שכר,שכר בארץ,תשתיות,אנרגיה,54654.0
משרד הבריאות,תקציב רגיל,העברות  פנים תקציביות,הפחתות,שירותים חברתיים,בריאות,114681.0
חוק חיילים משוחררים,תקציב רגיל,העברות,תשלומי העברה סוציאליים,בטחון וסדר ציבורי,בטחון-אחר,1488704.0
