saif,subkind,class_top,class_full,group_top,group_full,sum
משרד הפנים,תקציב רגיל,קניות,קניות בארץ,משרדי מטה,פנים ושלטון מקומי,17514.0
משרד החקלאות,תקציב רגיל,שכר,רזרבה,ענפי משק,חקלאות,13139.0
פיתוח תיירות,תקציב פיתוח,השקעה,השקעה בארץ,ענפי משק,תיירות,561642.0
משרד החינוך,תקציב רגיל,העברות  פנים תקציביות,הפחתות,שירותים חברתיים,חינוך,672150.0
משרד הבטחון,תקציב רגיל,קניות,קניות בארץ,בטחון וסדר ציבורי,בטחון,118343.0
משרד החינוך,תקציב רגיל,קניות,רזרבה,שירותים חברתיים,חינוך,373417.0
הועדה לאנרגיה אטומית,תקציב רגיל,קניות,קניות בארץ,בטחון וסדר ציבורי,בטחון-אחר,147927.0
המרכז למיפוי ישראל,תקציב רגיל,קניות,רזרבה,תשתיות,בינוי ושיכון,1125.0
"רשות האוכלוסין, ההגירה",תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,משרדי מטה,פנים ושלטון מקומי,228613.0
תגמולים לנכים,תקציב רגיל,שכר,שכר בארץ,שירותים חברתיים,רווחה,22267.0
"משרד המדע והחלל, התרבות",תקציב רגיל,קניות,רזרבה,שירותים חברתיים,"מדע, תרבות וספורט",4982.0
משרד התחבורה והבטיחות,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,תשתיות,תחבורה,0.0
פיתוח התחבורה,תקציב פיתוח,הכנסות מיועדות,הכנסות תקציב פיתוח,תשתיות,תחבורה,4788003.0
תאום הפעולות בשטחים,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,בטחון וסדר ציבורי,בטחון-אחר,274.0
הוצאות פיתוח אחרות,תקציב פיתוח,העברות  פנים תקציביות,השתתפויות,הוצאות אחרות,הוצאות שונות,86674.0
משרד הכלכלה,תקציב רגיל,שכר,"שכר בחו""ל",ענפי משק,תעשיה ותעסוקה,319517.0
מפעלי מים,תקציב פיתוח,מתן אשראי,אשראי בשקלים,תשתיות,משק המים,567464.0
גמלאות ופיצויים,תקציב רגיל,קניות,קניות בארץ,הוצאות אחרות,גמלאות,31826.0
משרד החקלאות,תקציב רגיל,שכר,שכר בארץ,ענפי משק,חקלאות,18134.0
נמל חדרה,מפעלים עסקיים,קניות,רזרבה,תשתיות,תחבורה,41994.0
תגמולים לנכים,תקציב רגיל,העברות,תשלומי העברה סוציאליים,שירותים חברתיים,רווחה,3047495.0
משרד הכלכלה,תקציב רגיל,העברות,סובסידיה,ענפי משק,תעשיה ותעסוקה,168426.0
הוצאות פיתוח אחרות,תקציב פיתוח,השקעה,השקעה בארץ,הוצאות אחרות,הוצאות שונות,717074.0
הוצאות מינהל מקרקעי,מפעלים עסקיים,קניות,רזרבה,תשתיות,רשות מקרקעי ישראל,257733.0
השכלה גבוהה,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,שירותים חברתיים,השכלה גבוהה,50455.0
משרד התיירות,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,ענפי משק,תיירות,0.0
משרד הבינוי והשיכון,תקציב רגיל,שכר,רזרבה,תשתיות,בינוי ושיכון,144917.0
משרד החקלאות,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,ענפי משק,חקלאות,0.0
מפעלי משרד ראש הממשלה,מפעלים עסקיים,הכנסות מיועדות,הכנסות תקציב רגיל,משרדי מטה,אוצר,83446.0
תגמולים לנכים,תקציב רגיל,שכר,רזרבה,שירותים חברתיים,רווחה,112984.0
המשרד לקליטת העליה,תקציב רגיל,קניות,רזרבה,שירותים חברתיים,קליטת עליה,51341.0
משרד הבריאות,תקציב רגיל,קניות,קניות בארץ,שירותים חברתיים,בריאות,269765.0
המשרד לקליטת העליה,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,שירותים חברתיים,קליטת עליה,168965.0
שיכון,תקציב פיתוח,חשבונות מעבר,חשבונות מעבר,תשתיות,בינוי ושיכון,0.0
רשויות מקומיות,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,משרדי מטה,פנים ושלטון מקומי,0.0
משרד האוצר,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,משרדי מטה,אוצר,36128.0
משרד הרווחה והשירותים,תקציב רגיל,קניות,קניות בארץ,שירותים חברתיים,רווחה,1283384.0
רשות ממשלתית למים,תקציב רגיל,קניות,רזרבה,תשתיות,משק המים,30822.0
מענקי בינוי ושיכון,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,תשתיות,בינוי ושיכון,0.0
משרד ראש הממשלה,תקציב רגיל,העברות,רזרבה,משרדי מטה,ראש הממשלה,71572.0
פיתוח תיירות,תקציב פיתוח,הכנסות מיועדות,הכנסות תקציב פיתוח,ענפי משק,תיירות,334000.0
מפעלי משרד ראש הממשלה,מפעלים עסקיים,חשבונות מעבר,חשבונות מעבר,משרדי מטה,ראש הממשלה,0.0
המשרד לשירותי דת,תקציב רגיל,קניות,קניות בארץ,משרדי מטה,שירותי דת,22678.0
משרד התקשורת,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,ענפי משק,תקשורת,1800.0
הוצאות פיתוח אחרות,תקציב פיתוח,הכנסות מיועדות,הכנסות מאשראי,הוצאות אחרות,הוצאות שונות,0.0
הוצאות מינהל מקרקעי,מפעלים עסקיים,השקעה,השקעה בארץ,תשתיות,רשות מקרקעי ישראל,4411451.0
"משרד המדע והחלל, התרבות",תקציב רגיל,העברות  פנים תקציביות,השתתפויות,שירותים חברתיים,"מדע, תרבות וספורט",150783.0
משרד החקלאות,תקציב רגיל,העברות,תמיכות לפי סעיף 3א,ענפי משק,חקלאות,404724.0
רשויות פיקוח,תקציב רגיל,שכר,רזרבה,הוצאות אחרות,הוצאות שונות,716.0
מפעלי מים,תקציב פיתוח,העברות,סובסידיה,תשתיות,משק המים,42808.0
המשרד לשירותי דת,תקציב רגיל,שכר,שכר בארץ,משרדי מטה,שירותי דת,20005.0
משרד הפנים,תקציב רגיל,העברות,מוצרים ציבוריים,משרדי מטה,פנים ושלטון מקומי,71388.0
משרד הבריאות,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,שירותים חברתיים,בריאות,0.0
משרד התיירות,תקציב רגיל,מתן אשראי,סבסוד אשראי,ענפי משק,תיירות,15564.0
מענקי בינוי ושיכון,תקציב רגיל,קניות,קניות בארץ,תשתיות,בינוי ושיכון,199704.0
פיתוח לאומי,מפעלים עסקיים,העברות,לגורמים אחרים,משרדי מטה,ראש הממשלה,0.0
משרד הבריאות,תקציב רגיל,שכר,שכר בארץ,שירותים חברתיים,בריאות,894928.0
המשרד להגנת הסביבה,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,ענפי משק,הגנת הסביבה,0.0
תמיכות שונות,תקציב רגיל,קניות,קניות בארץ,תשתיות,תחבורה,0.0
הוצאות חירום אזרחיות,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,בטחון וסדר ציבורי,בטחון-אחר,450383.0
משרד ראש הממשלה,תקציב רגיל,קניות,רזרבה,משרדי מטה,ראש הממשלה,147467.0
מטה לביטחון לאומי,תקציב רגיל,קניות,רזרבה,משרדי מטה,ראש הממשלה,1360.0
השכלה גבוהה,תקציב רגיל,העברות,רזרבה,שירותים חברתיים,השכלה גבוהה,289564.0
משרד הרווחה והשירותים,תקציב רגיל,העברות,תמיכות לפי סעיף 3א,שירותים חברתיים,רווחה,34072.0
משרד האנרגיה והמים,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,תשתיות,אנרגיה,18538.0
משרד התחבורה והבטיחות,תקציב רגיל,קניות,קניות בארץ,תשתיות,תחבורה,69053.0
משרד הכלכלה,תקציב רגיל,העברות,מוצרים ציבוריים,ענפי משק,תעשיה ותעסוקה,367466.0
גמלאות ופיצויים,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,הוצאות אחרות,גמלאות,0.0
משרד התיירות,תקציב רגיל,קניות,קניות בארץ,ענפי משק,תיירות,35402.0
"רשות האוכלוסין, ההגירה",תקציב רגיל,העברות  פנים תקציביות,השתתפויות,משרדי מטה,פנים ושלטון מקומי,294896.0
גמלאות ופיצויים,תקציב רגיל,שכר,שכר בארץ,הוצאות אחרות,גמלאות,911531.0
משרד הכלכלה,תקציב רגיל,העברות,תמיכות לפי סעיף 3א,ענפי משק,תעשיה ותעסוקה,12208.0
משפטים ובתי משפט,תקציב פיתוח,העברות  פנים תקציביות,השתתפויות,משרדי מטה,משפטים,80093.0
משרד הבטחון,תקציב רגיל,שכר,שכר בארץ,בטחון וסדר ציבורי,בטחון,33979.0
משרד התקשורת,תקציב רגיל,קניות,רזרבה,ענפי משק,תקשורת,1906.0
גמלאות ופיצויים,תקציב רגיל,העברות,תשלומי העברה סוציאליים,הוצאות אחרות,גמלאות,3924000.0
תאום הפעולות בשטחים,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,בטחון וסדר ציבורי,בטחון-אחר,86485.0
הוצאות שונות,תקציב רגיל,העברות,רזרבה,הוצאות אחרות,הוצאות שונות,110813.0
משרד הרווחה והשירותים,תקציב רגיל,העברות,מוצרים ציבוריים,שירותים חברתיים,רווחה,594053.0
תגמולים לנכים,תקציב רגיל,קניות,קניות בארץ,שירותים חברתיים,רווחה,44985.0
תמיכות בענפי המשק,תקציב רגיל,העברות,סובסידיה,ענפי משק,תעשיה ותעסוקה,643833.0
משרד האוצר,תקציב רגיל,קניות,רזרבה,משרדי מטה,אוצר,74145.0
משרד הבטחון,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,בטחון וסדר ציבורי,בטחון,0.0
רשויות מקומיות,תקציב רגיל,קניות,רזרבה,משרדי מטה,פנים ושלטון מקומי,131201.0
משרד הבריאות,תקציב פיתוח,השקעה,רזרבה,שירותים חברתיים,בריאות,434743.0
מפעלי משרד ראש הממשלה,מפעלים עסקיים,קניות,"קניות בחו""ל",משרדי מטה,ראש הממשלה,229229.0
בחירות ומימון מפלגות,תקציב רגיל,קניות,רזרבה,משרדי מטה,משרדים נוספים,131805.0
רשות ממשלתית למים,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,תשתיות,משק המים,24909.0
חוק חיילים משוחררים,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,בטחון וסדר ציבורי,בטחון-אחר,851999.0
מבקר המדינה,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,משרדי מטה,משרדים נוספים,98514.0
המשרד לקליטת העליה,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,שירותים חברתיים,קליטת עליה,62870.0
רשויות פיקוח,תקציב רגיל,קניות,קניות בארץ,הוצאות אחרות,הוצאות שונות,86310.0
משרד המשפטים,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,משרדי מטה,משפטים,0.0
תמיכות שונות,תקציב רגיל,העברות,רזרבה,ענפי משק,חקלאות,0.0
משרד החקלאות,תקציב רגיל,העברות,סובסידיה,ענפי משק,חקלאות,105380.0
משרד החקלאות,תקציב רגיל,שכר,"שכר בחו""ל",ענפי משק,חקלאות,213078.0
משרד המשפטים,תקציב רגיל,שכר,שכר בארץ,משרדי מטה,משפטים,744370.0
חינוך,תקציב פיתוח,השקעה,רזרבה,שירותים חברתיים,חינוך,935935.0
שיכון,תקציב פיתוח,מתן אשראי,אשראי בשקלים,תשתיות,בינוי ושיכון,0.0
משרד החוץ,תקציב רגיל,שכר,רזרבה,משרדי מטה,חוץ,49394.0
הכנסת,תקציב רגיל,קניות,קניות בארץ,משרדי מטה,משרדים נוספים,252230.0
משרד הפנים,תקציב רגיל,קניות,רזרבה,משרדי מטה,פנים ושלטון מקומי,25941.0
מבקר המדינה,תקציב רגיל,שכר,שכר בארץ,משרדי מטה,משרדים נוספים,214897.0
רשויות פיקוח,תקציב רגיל,העברות,רזרבה,הוצאות אחרות,הוצאות שונות,270594.0
מפעלי משרד ראש הממשלה,מפעלים עסקיים,הכנסות מיועדות,הכנסות תקציב רגיל,משרדי מטה,ראש הממשלה,235612.0
המשרד להגנת הסביבה,תקציב רגיל,קניות,קניות בארץ,ענפי משק,הגנת הסביבה,0.0
משרד ראש הממשלה,תקציב רגיל,שכר,רזרבה,משרדי מטה,ראש הממשלה,5296.0
מבקר המדינה,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,משרדי מטה,משרדים נוספים,0.0
משרד המשפטים,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,משרדי מטה,משפטים,254533.0
משרד ראש הממשלה,תקציב רגיל,העברות,מוצרים ציבוריים,משרדי מטה,ראש הממשלה,43205.0
הוצאות שונות,תקציב רגיל,קניות,קניות בארץ,הוצאות אחרות,הוצאות שונות,901646.0
הוצאות פיתוח אחרות,תקציב פיתוח,מתן אשראי,אשראי בשקלים,הוצאות אחרות,הוצאות שונות,522060.0
הוצאות מינהל מקרקעי,מפעלים עסקיים,העברות,סובסידיה,תשתיות,רשות מקרקעי ישראל,1899010.0
משרד הכלכלה,תקציב רגיל,קניות,רזרבה,ענפי משק,תעשיה ותעסוקה,49835.0
תעשיה,תקציב פיתוח,השקעה,רזרבה,ענפי משק,תעשיה ותעסוקה,188961.0
תאום הפעולות בשטחים,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,בטחון וסדר ציבורי,בטחון-אחר,0.0
